ID,Type,Spine,Title (Data retrieved 2019-06-21),Year,Country,Duration,Created,Expiring,Director,URL,Description,Not in Region
465677,feature,779,Mulholland Dr.,2001,United States,2:27:12,2019-03-28,2019-07-01,David Lynch,https://www.criterionchannel.com/videos/mulholland-dr,"Directed by David Lynch • 2001 • United States /  / Starring Naomi Watts, Laura Harring, Justin Theroux /  /  /  / A love story in the city of dreams . . .  /  / Blonde Betty Elms (Naomi Watts) has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia (Laura Harring). Meanwhile, as the two set off to solve the second woman’s identity, filmmaker Adam Kesher (Justin Theroux) runs into ominous trouble while casting his latest project. David Lynch’s seductive and scary vision of Los Angeles’s dream factory is one of the true masterpieces of the new millennium, a tale of love, jealousy, and revenge like no other. /  /  /  / Limited engagement ends June 30",
467044,feature,,Experiment in Terror,1962,United States,2:03:24,2019-04-01,2019-07-01,Blake Edwards,https://www.criterionchannel.com/experiment-in-terror/videos/experiment-in-terror,"Directed by Blake Edwards • 1962 • United States /  / Starring Lee Remick, Glenn Ford /  /  /  / Following the success of BREAKFAST AT TIFFANY’S, producer-director Blake Edwards took a detour into noir territory with this ultra-stylish, mood-drenched thriller. Lee Remick plays a San Francisco bank clerk who is plunged into a waking nightmare when she becomes the unwitting pawn in a sadistic killer’s heist scheme, while Glenn Ford is the FBI agent charged with unraveling the case. Featuring lustrous black-and-white cinematography and a cool jazz score by Henry Mancini, EXPERIMENT IN TERROR bristles with voyeuristic, psychosexual unease, striking a tone that has invited comparisons to the work of Alfred Hitchcock and David Lynch. /  /  /  / Limited engagement ends June 30",
462916,feature,396,Ace in the Hole,1951,United States,1:51:12,2019-03-27,2019-07-01,Billy Wilder,https://www.criterionchannel.com/videos/ace-in-the-hole,"Directed by Billy Wilder • 1951 • United States /  / Starring Kirk Douglas, Jan Sterling, Bob Arthur /  /  /  / Billy Wilder’s ACE IN THE HOLE is one of the most scathing indictments of American culture ever produced by a Hollywood filmmaker. Kirk Douglas gives the fiercest performance of his career as Chuck Tatum, an amoral newspaper reporter who washes up in dead-end Albuquerque, happens upon the scoop of a lifetime, and will do anything to keep getting the lurid headlines. Wilder’s follow-up to SUNSET BOULEVARD is an even darker vision, a no-holds-barred exposé of the American media’s appetite for sensation that has gotten only more relevant with time. /  /  /  / Limited engagement ends June 30",
464601,supplement,,ACE IN THE HOLE Commentary,,,1:51:12,2019-03-28,2019-07-01,,https://www.criterionchannel.com/ace-in-the-hole/videos/commentary-3,"Recorded in 2007, this commentary features film scholar Neil Sinyard, coauthor of Journey Down Sunset Boulevard: The Films of Billy Wilder.",
463958,feature,860,Mildred Pierce,1945,United States,1:50:59,2019-03-27,2019-07-01,Michael Curtiz,https://www.criterionchannel.com/videos/mildred-pierce,"Directed by Michael Curtiz • 1945 • United States /  / Starring Joan Crawford, Ann Blyth /  /  /  / Melodrama casts noirish shadows in this portrait of maternal sacrifice from Hollywood master Michael Curtiz. Its iconic performance by Joan Crawford as Mildred, a single mother hell-bent on freeing her children from the stigma of economic hardship, solidified Crawford’s career comeback and gave the actor her only Oscar. But as Mildred pulls herself up by the bootstraps, first as an unflappable waitress and eventually as the well-heeled owner of a successful restaurant chain, the ingratitude of her materialistic firstborn (a diabolical Ann Blyth) becomes a venomous serpent’s tooth, setting in motion an endless cycle of desperate overtures and heartless recriminations. Recasting James M. Cain’s rich psychological novel as a murder mystery, this bitter cocktail of blind parental love and all-American ambition is both unremittingly hard-boiled and sumptuously emotional. /  /  /  / Limited engagement ends June 30",
460701,supplement,,BUENA VISTA SOCIAL CLUB Commentary,,,1:45:20,2019-03-25,2019-07-01,,https://www.criterionchannel.com/buena-vista-social-club/videos/buena-vista-social-club-commentary,"This audio commentary, featuring director Wim Wenders, was recorded in 1999.",
459013,feature,866,Buena Vista Social Club,1999,"Germany, United States",1:45:19,2019-03-22,2019-07-01,Wim Wenders,https://www.criterionchannel.com/buena-vista-social-club/videos/buena-vista-social-club,"Directed by Wim Wenders • 1999 • Germany, United States /  / Documentary focusing on the relationship between American music star Ry Cooder and a veteran group of Cuban musicians. Cooder worked to reunite as many of Havana's old guard as possible, first for the hugely successful Buena Vista Social Club album, and then for another record and shows in Havana, New York and Amsterdam. Here band members are interviewed, including the 90 year old guitarist Compay Segundo and the Cuban Nat King Cole, Ibrahim Ferrer.",
465688,feature,656,Jubal,1956,United States,1:42:03,2019-03-28,2019-07-01,Delmer Daves,https://www.criterionchannel.com/videos/jubal,"Directed by Delmer Daves • 1956 • United States /  / Starring Glenn Ford, Ernest Borgnine, Rod Steiger, Valerie French /  /  /  / A trio of exceptional performances by Glenn Ford, Ernest Borgnine, and Rod Steiger form the center of JUBAL, an overlooked Hollywood treasure from genre master Delmer Daves. In this Shakespearean tale of jealousy and betrayal, Ford is an honorable itinerant cattleman, befriended and hired by Borgnine’s bighearted ranch owner despite his unwillingness to talk about his past. When he becomes the object of the attentions of the owner’s bored wife (Valerie French) and is entrusted with a foreman’s responsibilities, his presence starts to rankle a shifty fellow cowhand, played by Steiger. The resulting emotional showdown imparts unparalleled psychological intensity to this vivid western melodrama, featuring expressive location photography in Technicolor and CinemaScope. /  /  /  / Limited engagement ends June 30",
466807,feature,963,To Sleep with Anger,1990,United States,1:41:51,2019-04-01,2019-07-01,Charles Burnett,https://www.criterionchannel.com/videos/to-sleep-with-anger,"Directed by Charles Burnett • 1990 • United States /  /  /  / A slow-burning masterwork of the early 1990s, this third feature by Charles Burnett is a singular piece of American mythmaking. In a towering performance, Danny Glover plays the enigmatic southern drifter Harry, a devilish charmer who turns up out of the blue on the South Central Los Angeles doorstep of his old friends. In short order, Harry’s presence seems to cast a chaotic spell on what appeared to be a peaceful household, exposing smoldering tensions between parents and children, tradition and change, virtue and temptation. Interweaving evocative strains of gospel and blues with rich, poetic-realist images, TO SLEEP WITH ANGER is a sublimely stirring film from an autonomous artistic sensibility, a portrait of family resilience steeped in the traditions of African American mysticism and folklore. /  /  /  / Limited engagement ends June 30",
465708,feature,920,The Virgin Suicides,1999,United States,1:36:58,2019-03-28,2019-07-01,Sofia Coppola,https://www.criterionchannel.com/videos/the-virgin-suicides,"Directed by Sofia Coppola • 1999 • United States /  / Starring Kirsten Dunst, Kathleen Turner, James Woods /  /  /  / With this debut feature, Sofia Coppola announced her singular vision, exploring the aesthetics of femininity while illuminating the interior lives of young women. An adaptation of Jeffrey Eugenides’s popular first novel, THE VIRGIN SUICIDES conjures the ineffable melancholy of teenage longing and ennui in its story of the suicides of the five Lisbon sisters, stifled by the rules of their overprotective religious parents—as told through the collective memory of a group of men who were boys at the time and still yearn to understand what happened. Evoking its 1970s suburban setting through ethereal cinematography by Ed Lachman and an atmospheric score by Air, the film secured a place for its director in the landscape of American independent cinema and has become a coming-of-age touchstone. /  /  /  / Limited engagement ends June 30",
